game_id,sport,game_date,away,home,away_starter,home_starter,away_score,home_score,status
mlb-afbac30624ec674873fd96ac159f69ad,mlb,2026-09-23,Arizona Diamondbacks,Colorado Rockies,,,,,scheduled
mlb-0ae15942e1f4c4657b06458868afbf96,mlb,2026-09-23,Los Angeles Angels,Athletics,,,,,scheduled
mlb-a5e0deb6f51b7edebbd82d0eaf966294,mlb,2026-09-23,Houston Astros,Seattle Mariners,,,,,scheduled
mlb-81f539754930db6ffbd116ca2d30ee9c,mlb,2026-09-23,Minnesota Twins,San Francisco Giants,,,,,scheduled
mlb-85b75fcab1b69e0a4e414382b9f1cc7e,mlb,2026-09-23,San Diego Padres,Los Angeles Dodgers,,,,,scheduled
nfl-32367f882fac1a0c20a6335619922025,nfl,2026-09-22,New York Giants,Los Angeles Rams,,,,,scheduled
nfl-e5fbd3b3953b896b1bf897ddadb3cc4b,nfl,2026-09-25,Atlanta Falcons,Green Bay Packers,,,,,scheduled
nfl-b225458a282e140c44c45651255f2f6c,nfl,2026-09-27,Los Angeles Chargers,Buffalo Bills,,,,,scheduled
nfl-613b8cd3a5fab58f7be4e3fd6f76223e,nfl,2026-09-27,Carolina Panthers,Cleveland Browns,,,,,scheduled
nfl-71123be049587b6facce3a20c53e5d09,nfl,2026-09-27,Cincinnati Bengals,Pittsburgh Steelers,,,,,scheduled
nfl-07f552badfa8a565d1be22123713e4da,nfl,2026-09-27,New York Jets,Detroit Lions,,,,,scheduled
nfl-17a730b7d399feeab6a78c30767c29d2,nfl,2026-09-27,Houston Texans,Indianapolis Colts,,,,,scheduled
nfl-1f3cfd315a24d1a7dd5859a8e6b88e18,nfl,2026-09-27,New England Patriots,Jacksonville Jaguars,,,,,scheduled
nfl-0339a0e41bcee12820eb3e64bb5fadb4,nfl,2026-09-27,Kansas City Chiefs,Miami Dolphins,,,,,scheduled
nfl-555afd4a27aaa392662881cffa8f2eef,nfl,2026-09-27,Tennessee Titans,New York Giants,,,,,scheduled
nfl-2a529c108305ffa049d8b6cfdbaa4d36,nfl,2026-09-27,Seattle Seahawks,Washington Commanders,,,,,scheduled
nfl-9d2b09e0f9b6dd5ce0d985894f4f98fa,nfl,2026-09-27,Arizona Cardinals,San Francisco 49ers,,,,,scheduled
nfl-f1724dead3eab61546033032fc782375,nfl,2026-09-27,Minnesota Vikings,Tampa Bay Buccaneers,,,,,scheduled
nfl-84cfca14efc21363fd605508404cf1ff,nfl,2026-09-27,Baltimore Ravens,Dallas Cowboys,,,,,scheduled
nfl-2e523fcb0497aa689473e290eb2b97de,nfl,2026-09-27,Las Vegas Raiders,New Orleans Saints,,,,,scheduled
nfl-3bfd8bfb4b8e9a365a0877879b73b16b,nfl,2026-09-28,Los Angeles Rams,Denver Broncos,,,,,scheduled
nfl-47dc7baa254659f3beb2ed2b38c207b6,nfl,2026-09-29,Philadelphia Eagles,Chicago Bears,,,,,scheduled
